0, Note_on_c,0,43,100,34
576, Note_off_c,0,43,0,34
576, Note_on_c,0,43,100,34
768, Note_off_c,0,43,0,34
768, Note_on_c,0,46,100,34
960, Note_off_c,0,46,0,34
960, Note_on_c,0,43,100,34
1344, Note_off_c,0,43,0,34
1344, Note_on_c,0,43,100,34
1728, Note_off_c,0,43,0,34
1728, Note_on_c,0,43,100,34
2112, Note_off_c,0,43,0,34
2112, Note_on_c,0,43,100,34
2304, Note_off_c,0,43,0,34
2304, Note_on_c,0,46,100,34
2496, Note_off_c,0,46,0,34
2496, Note_on_c,0,43,100,34
2688, Note_off_c,0,43,0,34
2688, Note_on_c,0,41,100,34
3072, Note_off_c,0,41,0,34
3072, Note_on_c,0,43,100,34
3648, Note_off_c,0,43,0,34
3648, Note_on_c,0,43,100,34
3840, Note_off_c,0,43,0,34
3840, Note_on_c,0,46,100,34
4032, Note_off_c,0,46,0,34
4032, Note_on_c,0,43,100,34
4416, Note_off_c,0,43,0,34
4416, Note_on_c,0,43,100,34
4800, Note_off_c,0,43,0,34
4800, Note_on_c,0,43,100,34
5184, Note_off_c,0,43,0,34
5184, Note_on_c,0,43,100,34
5376, Note_off_c,0,43,0,34
5376, Note_on_c,0,46,100,34
5568, Note_off_c,0,46,0,34
5568, Note_on_c,0,43,100,34
5760, Note_off_c,0,43,0,34
5760, Note_on_c,0,41,100,34
6144, Note_off_c,0,41,0,34
6144, Note_on_c,0,48,100,34
6720, Note_off_c,0,48,0,34
6720, Note_on_c,0,48,100,34
6912, Note_off_c,0,48,0,34
6912, Note_on_c,0,51,100,34
7104, Note_off_c,0,51,0,34
7104, Note_on_c,0,48,100,34
7488, Note_off_c,0,48,0,34
7488, Note_on_c,0,48,100,34
7872, Note_off_c,0,48,0,34
7872, Note_on_c,0,48,100,34
8256, Note_off_c,0,48,0,34
8256, Note_on_c,0,48,100,34
8448, Note_off_c,0,48,0,34
8448, Note_on_c,0,51,100,34
8640, Note_off_c,0,51,0,34
8640, Note_on_c,0,48,100,34
